emp_no,first_name,last_name,birth_date,from_date,to_date,dept_name
10095,Hilari,Morton,1965-01-03,1994-03-10,9999-01-01,Sales
10122,Ohad,Esposito,1965-01-19,1998-08-06,9999-01-01,Development
10291,Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01,Sales
10476,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Research
10663,Teunis,Noriega,1965-01-09,1999-02-12,9999-01-01,Production
10762,Lech,Himler,1965-01-19,1992-01-21,9999-01-01,Research
10933,Juyoung,Seghrouchni,1965-01-24,1993-08-02,9999-01-01,Production
12155,Keiichiro,Glinert,1965-01-21,1993-09-16,9999-01-01,Production
12408,Rasiah,Sudkamp,1965-01-10,1995-04-18,9999-01-01,Development
12643,Morrie,Schurmann,1965-01-30,1998-12-31,9999-01-01,Finance
13499,Kazuhiko,Sidou,1965-01-16,1991-09-01,9999-01-01,Production
14075,Denny,Tchuente,1965-01-03,1991-05-30,9999-01-01,Development
14104,Sudhanshu,Demian,1965-01-03,1994-07-23,9999-01-01,Human Resources
14127,Magdalena,Cannard,1965-01-10,1994-04-22,9999-01-01,Production
14158,Caolyn,Setiz,1965-01-22,1990-02-06,9999-01-01,Sales
14476,Sastry,Marrevee,1965-01-19,1999-09-25,9999-01-01,Production
14907,Nakhoon,Luga,1965-01-14,1986-12-18,9999-01-01,Sales
15050,Nikolaos,Kruskal,1965-01-18,1990-12-17,9999-01-01,Production
15058,Bouchung,Bugrara,1965-01-30,1990-06-18,9999-01-01,Finance
15413,Arvin,Rabejac,1965-01-17,1994-01-01,9999-01-01,Development
16461,Remmert,Schahn,1965-01-14,1986-09-06,9999-01-01,Sales
16528,Gaurav,Swick,1965-01-21,1996-05-07,9999-01-01,Production
17013,Morris,Garigliano,1965-01-15,1995-05-24,9999-01-01,Finance
17206,Berry,DeMori,1965-01-02,1992-12-27,9999-01-01,Production
17369,Yaghout,Kenevan,1965-01-31,2000-09-15,9999-01-01,Production
17447,Zengping,Boreale,1965-01-11,1998-12-16,9999-01-01,Sales
17731,Gennady,Roison,1965-01-16,1989-12-06,9999-01-01,Development
17970,Filipp,Carrere,1965-01-06,1989-01-09,9999-01-01,Production
17988,Mabhin,Calkin,1965-01-31,1989-11-30,9999-01-01,Production
18021,Adil,Matzke,1965-01-07,1987-05-08,9999-01-01,Development
