emp_no,first_name,last_name,dept_name,from_date,to_date
10001,Georgi,Facello,Development,1986-06-26,9999-01-01
10004,Chirstian,Koblick,Production,1986-12-01,9999-01-01
10005,Kyoichi,Maliniak,Human Resources,1989-09-12,9999-01-01
10006,Anneke,Preusig,Development,1990-08-05,9999-01-01
10009,Sumant,Peac,Quality Management,1985-02-18,9999-01-01
10018,Kazuhide,Peha,Production,1992-07-29,9999-01-01
10019,Lillian,Haddadi,Research,1999-04-30,9999-01-01
10020,Mayuko,Warwick,Production,1997-12-30,9999-01-01
10022,Shahaf,Famili,Development,1999-09-03,9999-01-01
10023,Bojan,Montemayor,Development,1999-09-27,9999-01-01
10026,Yongqiao,Berztiss,Production,1995-03-20,9999-01-01
10035,Alain,Chappelet,Production,1988-09-05,9999-01-01
10047,Zvonko,Nyanchama,Production,1989-03-31,9999-01-01
10051,Hidefumi,Caine,Production,1992-10-15,9999-01-01
10053,Sanjiv,Zschoche,Sales,1994-11-13,9999-01-01
10057,Ebbe,Callaway,Development,1992-01-15,9999-01-01
10058,Berhard,McFarlin,Marketing,1988-04-25,9999-01-01
10059,Alejandro,McAlpine,Finance,1991-06-26,9999-01-01
10063,Gino,Leonhardt,Production,1989-04-08,9999-01-01
10066,Kwee,Schusler,Development,1986-02-26,9999-01-01
10067,Claudi,Stavenow,Quality Management,1987-03-04,9999-01-01
10070,Reuven,Garigliano,Research,1995-10-18,9999-01-01
10072,Hironoby,Sidou,Development,1989-05-21,9999-01-01
10074,Mokhtar,Bernatsky,Development,1990-08-13,9999-01-01
10076,Erez,Ritzmann,Development,1996-07-15,9999-01-01
10088,Jungsoon,Syrzycki,Customer Service,1992-03-21,9999-01-01
10091,Amabile,Gomatam,Development,1992-11-18,9999-01-01
10096,Jayson,Mandell,Production,1999-01-23,9999-01-01
10097,Remzi,Waschkowski,Research,1990-09-15,9999-01-01
10100,Hironobu,Haraldson,Human Resources,1987-09-21,9999-01-01
10103,Akemi,Birch,Development,1998-01-12,9999-01-01
10106,Eben,Aingworth,Production,1991-10-27,9999-01-01
10126,Kayoko,Valtorta,Customer Service,1985-09-08,9999-01-01
10127,Subir,Baja,Development,1991-05-17,9999-01-01
10129,Armond,Peir,Development,1996-01-16,9999-01-01
10130,Nishit,Casperson,Production,1988-06-21,9999-01-01
10134,Diederik,Siprelle,Production,1993-12-02,9999-01-01
10138,Perry,Shimshoni,Quality Management,1992-03-03,9999-01-01
10150,Zhenbing,Perng,Development,1986-11-16,9999-01-01
10153,Heekeun,Majewski,Development,2000-01-08,9999-01-01
10157,Nigel,Aloisi,Development,1997-12-10,9999-01-01
10159,Serif,Buescher,Quality Management,1996-06-12,9999-01-01
10160,Debatosh,Khasidashvili,Sales,1993-12-06,9999-01-01
10163,Karsten,Szmurlo,Human Resources,1992-02-02,9999-01-01
10166,Samphel,Siegrist,Development,1996-09-02,9999-01-01
10183,Mechthild,Bonifati,Customer Service,1996-08-11,9999-01-01
10194,Josyula,Hofmeyr,Finance,1997-02-14,9999-01-01
10196,Marc,Hellwagner,Finance,1999-01-31,9999-01-01
10198,Pranav,Furedi,Development,1985-08-31,9999-01-01
10203,Steen,Escriba,Research,1989-04-06,9999-01-01
10205,Mabhin,Leijenhorst,Production,1993-08-23,9999-01-01
10207,Girolamo,Anandan,Development,1992-10-11,9999-01-01
10215,Xiaobin,Duclos,Sales,1991-11-23,9999-01-01
